r.num,Duration,Epidemic,Rt,ep_high,ep_low,
8723,257.00,670.00,0.47,433.00,237.00,
8724,13.50,0.00,2.03,0.00,0.00,
8725,209.50,701.00,0.42,442.00,259.00,
8726,284.00,665.00,0.48,418.00,247.00,
8727,255.75,656.00,0.47,412.00,244.00,
8728,258.25,719.00,0.38,428.00,291.00,
8729,10.00,0.00,1.96,0.00,0.00,
8730,212.50,702.00,0.43,460.00,242.00,
8731,298.00,655.00,0.49,438.00,217.00,
8732,15.50,0.00,2.01,0.00,0.00,
8733,19.25,3.00,1.98,1.00,2.00,
8734,306.50,646.00,0.49,417.00,229.00,
8735,27.25,0.00,1.97,0.00,0.00,
8736,207.50,659.00,0.50,429.00,230.00,
8737,269.75,625.00,0.56,387.00,238.00,
8738,365.75,653.00,0.51,418.00,235.00,
8739,256.50,691.00,0.42,448.00,243.00,
8740,295.75,703.00,0.39,441.00,262.00,
8741,260.50,690.00,0.43,423.00,267.00,
8742,228.50,696.00,0.40,462.00,234.00,
8743,12.25,0.00,2.01,0.00,0.00,
8744,12.00,0.00,2.00,0.00,0.00,
8745,226.75,697.00,0.40,441.00,256.00,
8746,10.75,0.00,1.95,0.00,0.00,
8747,15.25,1.00,1.96,1.00,0.00,
8748,35.00,2.00,1.98,2.00,0.00,
8749,286.00,695.00,0.41,424.00,271.00,
8750,264.75,694.00,0.43,448.00,246.00,
8751,14.50,2.00,1.96,2.00,0.00,
8752,28.00,2.00,1.95,2.00,0.00,
8753,289.75,680.00,0.43,434.00,246.00,
8754,208.00,703.00,0.40,436.00,267.00,
8755,29.00,1.00,1.95,1.00,0.00,
8756,226.50,710.00,0.41,444.00,266.00,
8757,26.00,0.00,1.96,0.00,0.00,
8758,270.25,673.00,0.49,449.00,224.00,
8759,6.25,0.00,1.98,0.00,0.00,
8760,301.75,689.00,0.43,430.00,259.00,
8761,21.50,2.00,2.01,1.00,1.00,
8762,226.50,727.00,0.36,483.00,244.00,
8763,229.00,643.00,0.48,396.00,247.00,
8764,31.00,3.00,1.99,3.00,0.00,
8765,64.75,2.00,2.01,1.00,1.00,
8766,296.00,707.00,0.40,443.00,264.00,
8767,258.50,687.00,0.45,436.00,251.00,
8768,290.00,645.00,0.52,402.00,243.00,
8769,204.75,664.00,0.47,436.00,228.00,
8770,345.00,693.00,0.47,449.00,244.00,
8771,9.00,0.00,1.96,0.00,0.00,
8772,17.75,1.00,2.00,1.00,0.00,
8773,36.25,3.00,1.99,1.00,2.00,
8774,238.50,647.00,0.51,403.00,244.00,
8775,229.25,656.00,0.48,432.00,224.00,
8776,218.50,715.00,0.39,453.00,262.00,
8777,236.25,690.00,0.42,440.00,250.00,
8778,36.25,1.00,2.01,1.00,0.00,
8779,248.50,652.00,0.48,400.00,252.00,
8780,303.25,603.00,0.56,377.00,226.00,
8781,280.25,618.00,0.55,392.00,226.00,
8782,314.00,709.00,0.41,422.00,287.00,
8783,235.25,713.00,0.37,447.00,266.00,
8784,9.50,0.00,2.00,0.00,0.00,
8785,24.75,0.00,2.03,0.00,0.00,
8786,5.00,0.00,2.04,0.00,0.00,
8787,266.25,649.00,0.53,438.00,211.00,
8788,230.00,676.00,0.46,425.00,251.00,
8789,263.25,641.00,0.52,397.00,244.00,
8790,12.25,0.00,2.02,0.00,0.00,
8791,29.75,1.00,1.97,1.00,0.00,
8792,40.50,5.00,1.97,5.00,0.00,
8793,263.25,671.00,0.46,427.00,244.00,
8794,317.75,695.00,0.41,442.00,253.00,
8795,18.75,0.00,1.98,0.00,0.00,
8796,244.25,691.00,0.45,419.00,272.00,
8797,258.00,662.00,0.48,424.00,238.00,
8798,40.50,5.00,2.02,3.00,2.00,
8799,324.50,648.00,0.50,428.00,220.00,
8800,5.75,0.00,1.96,0.00,0.00,
8801,301.00,634.00,0.52,411.00,223.00,
8802,282.50,671.00,0.51,423.00,248.00,
8803,59.00,1.00,1.99,1.00,0.00,
8804,286.00,667.00,0.47,443.00,224.00,
8805,290.75,691.00,0.42,444.00,247.00,
8806,255.50,713.00,0.38,441.00,272.00,
8807,215.50,641.00,0.54,419.00,222.00,
8808,293.50,693.00,0.42,430.00,263.00,
8809,75.50,7.00,1.94,4.00,3.00,
8810,229.75,677.00,0.45,433.00,244.00,
8811,301.25,717.00,0.41,475.00,242.00,
8812,229.50,707.00,0.41,472.00,235.00,
8813,239.25,675.00,0.47,442.00,233.00,
8814,21.25,0.00,1.99,0.00,0.00,
8815,206.00,673.00,0.45,405.00,268.00,
8816,258.25,662.00,0.51,430.00,232.00,
